pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-5918-781a56d3-5962-432c-ba44-6242e1f21b8a,facing-5918-781a56d3-5962-432c-ba44-6242e1f21b8a,copying-5918-781a56d3-5962-432c-ba44-6242e1f21b8a,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,76,visible,335.23,231.63400000000001,7.125,23,0.06000000000000005,0.01,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,77,visible,338.014,225.075,7.125,23,0.06999999999999995,0.01,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,78,visible,340.798,218.516,7.125,23,0.06999999999999995,0.01,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,79,visible,341.62800000000004,216.56,2.125,23,0.08999999999999997,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,80,visible,342.458,214.604,2.125,23,0.08999999999999997,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,81,visible,343.288,212.648,2.125,23,0.08999999999999997,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,82,visible,344.11800000000005,210.692,2.125,23,0.11,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,83,visible,346.227,210.433,2.125,83,0.11,0.01,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,84,visible,348.336,210.174,2.125,83,0.12,0.01,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,85,visible,350.292,211.00400000000002,2.125,113,0.11,0.01,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,86,visible,351.25699999999995,212.89700000000002,2.125,153,0.08999999999999997,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,87,visible,352.222,214.79,2.125,153,0.07999999999999996,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,88,visible,353.18699999999995,216.683,2.125,153,0.08999999999999997,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,89,visible,356.42199999999997,223.03099999999998,7.125,153,0.08999999999999997,0.01,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,90,visible,357.38699999999994,224.924,2.125,153,0.07999999999999996,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,91,visible,358.352,226.817,2.125,153,0.07999999999999996,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,92,visible,359.31699999999995,228.71,2.125,153,0.09999999999999998,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,93,visible,360.282,230.60299999999998,2.125,153,0.09999999999999998,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,94,visible,361.24699999999996,232.49599999999998,2.125,153,0.09999999999999998,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,95,visible,362.92199999999997,233.804,2.125,128,0.08999999999999997,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,96,visible,364.597,235.112,2.125,128,0.07999999999999996,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,97,visible,366.272,236.42,2.125,128,0.06999999999999995,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,98,visible,367.94699999999995,237.72799999999998,2.125,128,0.07999999999999996,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,99,visible,369.62199999999996,239.03599999999997,2.125,128,0.07999999999999996,0.01,False,False,False,True,False,True,False,False,False,,False,True,False,exploiting,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,100,visible,371.49800000000005,240.03400000000002,2.125,118,0.06000000000000005,0.01,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,101,visible,373.60699999999997,239.775,2.125,83,0.06000000000000005,0.01,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,102,visible,374.764,237.993,2.125,33,0.06999999999999995,0.01,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,103,visible,375.921,236.21099999999998,2.125,33,0.08999999999999997,0.01,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,104,visible,375.847,234.08700000000002,2.125,358,0.11,0.01,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,105,visible,374.721,232.285,2.125,328,0.12,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,106,visible,370.945,226.243,7.125,328,0.14,0.01,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,107,visible,367.16900000000004,220.201,7.125,328,0.17000000000000004,0.01,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,108,visible,366.043,218.399,2.125,328,0.17000000000000004,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,109,visible,364.917,216.597,2.125,328,0.17000000000000004,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,110,visible,363.791,214.795,2.125,328,0.18000000000000005,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,111,visible,362.665,212.993,2.125,328,0.18000000000000005,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,112,visible,361.539,211.19099999999997,2.125,328,0.17000000000000004,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,113,visible,357.76300000000003,205.149,7.125,328,0.18000000000000005,0.01,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,114,visible,353.98699999999997,199.107,7.125,328,0.16000000000000006,0.01,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,115,visible,352.861,197.305,2.125,328,0.15000000000000002,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,116,visible,351.735,195.503,2.125,328,0.14,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,117,visible,350.60900000000004,193.701,2.125,328,0.15000000000000002,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,118,visible,346.833,187.65900000000002,7.125,328,0.17000000000000004,0.01,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,119,visible,345.707,185.857,2.125,328,0.2,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,120,visible,344.58099999999996,184.055,2.125,328,0.22,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,121,visible,343.455,182.253,2.125,328,0.23,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,122,visible,342.329,180.451,2.125,328,0.25,0.01,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5918-781a56d3-5962-432c-ba44-6242e1f21b8a,123,visible,338.55300000000005,174.40900000000002,7.125,328,0.27,0.01,False,False,False,False,False,True,True,False,False,,False,False,False,exploring,False,False,
