pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-5035-bcbed37d-ac8d-4392-8752-751036a4e898,facing-5035-bcbed37d-ac8d-4392-8752-751036a4e898,copying-5035-bcbed37d-ac8d-4392-8752-751036a4e898,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
5035-bcbed37d-ac8d-4392-8752-751036a4e898,28,visible,213.15900000000002,109.68700000000001,2.125,280,0.89,0.56,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,29,visible,211.06599999999997,109.318,2.125,280,0.87,0.56,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,30,visible,208.97299999999998,108.949,2.125,280,0.89,0.56,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,31,visible,206.88,108.58,2.125,280,0.8200000000000001,0.56,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,32,visible,204.787,108.211,2.125,280,0.88,0.56,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,33,visible,202.69400000000002,107.84200000000001,2.125,280,0.91,0.56,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,34,visible,200.601,107.473,2.125,280,0.98,0.56,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,35,visible,198.50799999999998,107.104,2.125,280,0.99,0.56,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,36,visible,196.415,106.735,2.125,280,0.97,0.56,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,37,visible,194.322,106.366,2.125,280,1.0,0.56,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,38,visible,192.229,105.99700000000001,2.125,280,1.0,0.56,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,39,visible,190.136,105.62799999999999,2.125,280,1.0,0.56,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,40,visible,188.043,105.259,2.125,280,1.0,0.56,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,41,visible,185.95,104.89,2.125,280,1.0,0.56,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,42,visible,183.857,104.521,2.125,280,1.0,0.56,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,43,visible,181.764,104.152,2.125,280,1.0,0.56,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,44,visible,179.671,103.78299999999999,2.125,280,1.0,0.56,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,45,visible,177.578,103.414,2.125,280,1.0,0.57,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,46,visible,175.485,103.045,2.125,280,1.0,0.57,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,47,visible,173.392,102.676,2.125,280,1.0,0.57,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,48,visible,171.299,102.307,2.125,280,1.0,0.57,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,49,visible,169.206,101.93799999999999,2.125,280,1.0,0.57,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,50,visible,167.113,101.569,2.125,280,1.0,0.57,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,51,visible,165.02,101.2,2.125,280,1.0,0.57,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,52,visible,162.92700000000002,100.831,2.125,280,1.0,0.57,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,53,visible,160.834,100.462,2.125,280,1.0,0.57,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
5035-bcbed37d-ac8d-4392-8752-751036a4e898,54,visible,158.741,100.09299999999999,2.125,280,1.0,0.57,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
