pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,facing-3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,copying-3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,43,visible,327.517,208.17700000000002,2.125,116,0.15000000000000002,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,44,visible,329.42699999999996,209.109,2.125,116,0.14,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,45,visible,331.337,210.041,2.125,116,0.14,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,46,visible,333.24699999999996,210.97299999999998,2.125,116,0.17000000000000004,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,47,visible,335.157,211.905,2.125,116,0.15000000000000002,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,48,visible,337.06699999999995,212.83700000000002,2.125,116,0.14,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,49,visible,338.977,213.769,2.125,116,0.12,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,50,visible,340.88699999999994,214.701,2.125,116,0.09999999999999998,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,51,visible,342.79699999999997,215.63299999999998,2.125,116,0.12,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,52,visible,344.707,216.565,2.125,116,0.09999999999999998,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,53,visible,346.61699999999996,217.497,2.125,116,0.09999999999999998,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,54,visible,348.527,218.429,2.125,116,0.08999999999999997,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,55,visible,350.43699999999995,219.361,2.125,116,0.06999999999999995,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,56,visible,352.347,220.293,2.125,116,0.05000000000000005,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,57,visible,354.25699999999995,221.225,2.125,116,0.040000000000000036,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,58,visible,356.167,222.157,2.125,116,0.040000000000000036,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,59,visible,358.077,223.08900000000003,2.125,116,0.040000000000000036,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,60,visible,359.98699999999997,224.021,2.125,116,0.040000000000000036,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,61,visible,361.897,224.953,2.125,116,0.030000000000000027,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,62,visible,363.80699999999996,225.885,2.125,116,0.040000000000000036,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,63,visible,365.717,226.817,2.125,116,0.05000000000000005,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,64,visible,367.62699999999995,227.74900000000002,2.125,116,0.030000000000000027,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
3715-7028f8e8-104c-451c-9960-ff5e41a5a46c,65,visible,369.537,228.68099999999998,2.125,116,0.030000000000000027,0.61,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
