pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,facing-0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,copying-0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,91,visible,102.98299999999999,277.5,2.125,247,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,92,visible,101.027,277.5,2.125,247,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,93,visible,99.071,277.5,2.125,247,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,94,visible,97.195,277.5,2.125,242,0.0,0.02,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,95,visible,95.641,277.5,2.125,227,0.0,0.02,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,96,visible,94.087,277.5,2.125,227,0.0,0.02,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,97,visible,92.53299999999999,277.5,2.125,227,0.0,0.02,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,98,visible,90.85799999999999,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,99,visible,89.18299999999999,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,100,visible,87.508,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,101,visible,85.833,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0533-d4f1da08-a452-47c2-abfd-ffa76938d8b2,102,visible,84.15799999999999,277.5,2.125,232,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
