pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,facing-3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,copying-3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,45,visible,336.912,102.661,2.125,258,0.74,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,46,visible,335.60400000000004,104.336,2.125,218,0.84,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,47,visible,335.49300000000005,106.458,2.125,183,0.76,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,48,visible,336.772,108.155,2.125,143,0.74,0.03,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,49,visible,338.051,109.852,2.125,143,0.75,0.03,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,50,visible,340.02099999999996,109.056,2.125,68,0.84,0.03,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,51,visible,341.019,107.18,2.125,28,0.92,0.03,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,52,visible,342.017,105.304,2.125,28,1.0,0.03,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,53,visible,343.714,104.025,2.125,53,0.98,0.03,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,54,visible,345.746,103.404,2.125,73,1.0,0.03,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,55,visible,347.86800000000005,103.515,2.125,93,1.0,0.03,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,56,visible,349.42199999999997,104.964,2.125,133,1.0,0.03,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,57,visible,350.70099999999996,106.661,2.125,143,1.0,0.03,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,58,visible,351.98,108.35799999999999,2.125,143,1.0,0.03,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,59,visible,353.259,110.055,2.125,143,1.0,0.03,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,60,visible,354.538,111.75200000000001,2.125,143,1.0,0.03,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,61,visible,355.96,113.331,2.125,138,1.0,0.03,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,62,visible,358.064,113.62700000000001,2.125,98,1.0,0.03,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,63,visible,359.866,112.501,2.125,58,1.0,0.03,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,64,visible,360.69599999999997,110.545,2.125,23,1.0,0.03,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,65,visible,360.075,108.51299999999999,2.125,343,1.0,0.03,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,66,visible,358.4,107.205,2.125,308,1.0,0.03,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,67,visible,356.276,107.279,2.125,268,1.0,0.03,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,68,visible,354.579,108.55799999999999,2.125,233,1.0,0.03,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,69,visible,354.101,110.62899999999999,2.125,193,1.0,0.03,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,70,visible,354.897,112.59899999999999,2.125,158,1.0,0.03,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,71,visible,356.773,113.59700000000001,2.125,118,1.0,0.03,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,72,visible,358.88199999999995,113.338,2.125,83,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,73,visible,360.33099999999996,111.78399999999999,2.125,43,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,74,visible,360.62699999999995,109.68,2.125,8,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,75,visible,359.501,107.87799999999999,2.125,328,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,76,visible,357.545,107.04799999999999,2.125,293,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,77,visible,355.51300000000003,107.669,2.125,253,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,78,visible,354.205,109.344,2.125,218,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,79,visible,354.279,111.46799999999999,2.125,178,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,80,visible,355.70099999999996,113.04700000000001,2.125,138,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,81,visible,357.772,113.525,2.125,103,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,82,visible,359.74199999999996,112.729,2.125,68,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,83,visible,360.899,110.947,2.125,33,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,84,visible,360.64,108.838,2.125,353,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,85,visible,359.218,107.259,2.125,318,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,86,visible,357.11400000000003,106.963,2.125,278,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,87,visible,355.221,107.928,2.125,243,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,88,visible,354.39099999999996,109.884,2.125,203,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,89,visible,354.833,111.963,2.125,168,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,90,visible,356.50800000000004,113.271,2.125,128,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,91,visible,358.63,113.382,2.125,93,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,92,visible,360.43199999999996,112.256,2.125,58,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,93,visible,361.089,110.235,2.125,18,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,94,visible,360.468,108.20299999999999,2.125,343,1.0,0.04,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,95,visible,358.793,106.895,2.125,308,1.0,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,96,visible,356.66900000000004,106.969,2.125,268,1.0,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,97,visible,354.972,108.24799999999999,2.125,233,1.0,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,98,visible,354.494,110.319,2.125,193,1.0,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,99,visible,355.29,112.289,2.125,158,1.0,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,100,visible,357.166,113.287,2.125,118,0.96,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,101,visible,359.275,113.02799999999999,2.125,83,0.96,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,102,visible,360.724,111.47399999999999,2.125,43,0.8200000000000001,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,103,visible,361.02,109.37,2.125,8,0.71,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,104,visible,359.894,107.568,2.125,328,0.78,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,105,visible,357.87300000000005,106.911,2.125,288,0.64,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,106,visible,355.841,107.53200000000001,2.125,253,0.73,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,107,visible,354.684,109.314,2.125,213,0.6,0.05,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,108,visible,354.38800000000003,111.41799999999999,2.125,188,0.5900000000000001,0.05,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,109,visible,354.092,113.522,2.125,188,0.51,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,110,visible,353.796,115.626,2.125,188,0.53,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,111,visible,353.5,117.73,2.125,188,0.56,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
3473-16acbc37-1c45-48d5-95c7-23bab6cbede7,112,visible,353.204,119.834,2.125,188,0.52,0.05,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
