pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-0967-567554e2-599c-47e4-9098-7985c06963c3,facing-0967-567554e2-599c-47e4-9098-7985c06963c3,copying-0967-567554e2-599c-47e4-9098-7985c06963c3,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
0967-567554e2-599c-47e4-9098-7985c06963c3,72,visible,281.12,42.302,2.125,129,0.36,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,73,visible,282.77099999999996,43.638999999999996,2.125,129,0.34,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,74,visible,284.422,44.976000000000006,2.125,129,0.34,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,75,visible,286.073,46.313,2.125,129,0.34,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,76,visible,291.61,50.797,7.125,129,0.33,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,77,visible,297.147,55.281000000000006,7.125,129,0.35,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,78,visible,302.684,59.765,7.125,129,0.37,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,79,visible,308.221,64.249,7.125,129,0.38,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,80,visible,313.758,68.733,7.125,129,0.38,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,81,visible,319.295,73.217,7.125,129,0.42,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,82,visible,324.832,77.70100000000001,7.125,129,0.42,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,83,visible,330.369,82.185,7.125,129,0.4300000000000001,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,84,visible,335.906,86.669,7.125,129,0.42,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,85,visible,341.44300000000004,91.15299999999999,7.125,129,0.42,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,86,visible,346.98,95.637,7.125,129,0.44,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,87,visible,352.517,100.12100000000001,7.125,129,0.44,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,88,visible,358.05400000000003,104.605,7.125,129,0.46,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,89,visible,363.591,109.089,7.125,129,0.45,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,90,visible,369.12800000000004,113.573,7.125,129,0.44,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,91,visible,374.665,118.057,7.125,129,0.4,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,92,visible,380.202,122.541,7.125,129,0.39,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,93,visible,385.73900000000003,127.025,7.125,129,0.37,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,94,visible,391.276,131.509,7.125,129,0.37,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,95,visible,392.92699999999996,132.846,2.125,129,0.38,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,96,visible,394.57800000000003,134.183,2.125,129,0.38,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,97,visible,396.22900000000004,135.52,2.125,129,0.38,0.02,False,False,False,True,False,True,False,False,False,,False,True,False,exploiting,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,98,visible,398.088,136.55,2.125,119,0.38,0.02,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,99,visible,400.17400000000004,136.145,2.125,79,0.37,0.02,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,100,visible,402.084,135.213,2.125,64,0.38,0.02,False,False,False,True,False,True,False,False,False,,False,True,False,exploiting,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,101,visible,403.994,134.281,2.125,64,0.36,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,102,visible,405.904,133.349,2.125,64,0.36,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,103,visible,407.814,132.417,2.125,64,0.35,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,104,visible,409.724,131.485,2.125,64,0.34,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,105,visible,411.634,130.553,2.125,64,0.34,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,106,visible,413.54400000000004,129.621,2.125,64,0.34,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,107,visible,415.454,128.689,2.125,64,0.33,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,108,visible,417.36400000000003,127.757,2.125,64,0.31000000000000005,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,109,visible,419.274,126.825,2.125,64,0.30000000000000004,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,110,visible,421.184,125.89299999999999,2.125,64,0.28,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,111,visible,423.094,124.961,2.125,64,0.28,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,112,visible,425.004,124.029,2.125,64,0.27,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,113,visible,426.034,122.17,2.125,29,0.27,0.02,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,114,visible,425.629,120.084,2.125,349,0.26,0.02,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,115,visible,425.224,117.99799999999999,2.125,349,0.25,0.02,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,116,visible,424.819,115.912,2.125,349,0.24,0.02,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,117,visible,424.597,113.79899999999999,2.125,354,0.24,0.02,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,118,visible,425.934,112.148,2.125,39,0.23,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,119,visible,427.27099999999996,110.49700000000001,2.125,39,0.2,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,120,visible,428.608,108.846,2.125,39,0.17000000000000004,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,121,visible,429.945,107.195,2.125,39,0.16000000000000006,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,122,visible,431.282,105.544,2.125,39,0.14,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,123,visible,432.619,103.89299999999999,2.125,39,0.13,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,124,visible,433.95599999999996,102.242,2.125,39,0.11,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,125,visible,435.293,100.59100000000001,2.125,39,0.06000000000000005,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,126,visible,435.441,98.471,2.125,4,0.05000000000000005,0.02,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,127,visible,434.855,96.428,2.125,344,0.030000000000000027,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,128,visible,434.269,94.385,2.125,344,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,129,visible,433.68300000000005,92.34200000000001,2.125,344,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,130,visible,433.097,90.29899999999999,2.125,344,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,131,visible,432.51099999999997,88.256,2.125,344,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,132,visible,431.925,86.213,2.125,344,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,133,visible,431.339,84.17,2.125,344,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,134,visible,430.75300000000004,82.12700000000001,2.125,344,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,135,visible,430.901,80.007,2.125,4,0.0,0.02,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,136,visible,432.37699999999995,78.47800000000001,2.125,44,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,137,visible,433.853,76.949,2.125,44,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,138,visible,435.329,75.42,2.125,44,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,139,visible,436.805,73.891,2.125,44,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,140,visible,438.281,72.362,2.125,44,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,141,visible,439.75699999999995,70.833,2.125,44,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,142,visible,441.233,69.304,2.125,44,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,143,visible,446.18199999999996,64.179,7.125,44,0.0,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,144,visible,451.131,59.053999999999995,7.125,44,0.0,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,145,visible,456.08,53.928999999999995,7.125,44,0.0,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,146,visible,461.029,48.803999999999995,7.125,44,0.0,0.02,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,147,visible,462.505,47.275,2.125,44,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0967-567554e2-599c-47e4-9098-7985c06963c3,148,visible,463.981,45.746,2.125,44,0.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
