pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-2953-6e410c79-2094-4548-a009-faf82961733d,facing-2953-6e410c79-2094-4548-a009-faf82961733d,copying-2953-6e410c79-2094-4548-a009-faf82961733d,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
2953-6e410c79-2094-4548-a009-faf82961733d,27,visible,230.885,142.756,2.125,23,0.96,0.02,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,28,visible,231.715,140.8,2.125,23,0.97,0.02,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,29,visible,232.545,138.844,2.125,23,0.97,0.02,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,30,visible,233.023,136.773,2.125,13,1.0,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,31,visible,232.227,134.803,2.125,338,1.0,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,32,visible,230.445,133.64600000000002,2.125,303,0.94,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,33,visible,228.41299999999998,134.267,2.125,253,0.91,0.02,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,34,visible,226.38099999999997,134.888,2.125,253,0.94,0.02,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,35,visible,224.34900000000002,135.509,2.125,253,0.98,0.02,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,36,visible,222.317,136.13,2.125,253,1.0,0.02,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,37,visible,220.738,137.55200000000002,2.125,228,1.0,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,38,visible,219.581,139.334,2.125,213,1.0,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,39,visible,219.285,141.438,2.125,188,1.0,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,40,visible,220.41099999999997,143.24,2.125,148,1.0,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,41,visible,222.36700000000002,144.07,2.125,113,1.0,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,42,visible,224.399,143.44899999999998,2.125,73,1.0,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,43,visible,225.707,141.774,2.125,38,1.0,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,44,visible,226.705,139.898,2.125,28,1.0,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,45,visible,226.63099999999997,137.774,2.125,358,0.96,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,46,visible,225.505,135.972,2.125,328,0.96,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,47,visible,223.549,135.142,2.125,293,0.94,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,48,visible,221.517,135.763,2.125,253,0.97,0.02,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,49,visible,220.209,137.438,2.125,218,0.98,0.03,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,50,visible,219.731,139.509,2.125,193,0.94,0.03,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,51,visible,219.99,141.618,2.125,173,0.9,0.03,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,52,visible,221.11599999999999,143.42,2.125,148,0.98,0.03,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,53,visible,222.791,144.72799999999998,2.125,128,1.0,0.03,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
2953-6e410c79-2094-4548-a009-faf82961733d,54,visible,224.812,145.385,2.125,108,0.94,0.03,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
