pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,facing-0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,copying-0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,42,visible,306.781,123.60600000000001,2.125,306,0.6,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,43,visible,305.062,122.35700000000001,2.125,306,0.78,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,44,visible,303.343,121.10799999999999,2.125,306,0.79,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,45,visible,301.624,119.859,2.125,306,0.79,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,46,visible,299.905,118.61,2.125,306,0.83,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,47,visible,298.186,117.361,2.125,306,0.89,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,48,visible,296.467,116.11200000000001,2.125,306,0.99,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,49,visible,294.748,114.863,2.125,306,1.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,50,visible,292.83799999999997,113.931,2.125,296,1.0,0.02,False,False,False,False,False,False,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,51,visible,290.829,114.62299999999999,2.125,251,1.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,52,visible,288.82,115.315,2.125,251,0.98,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,53,visible,286.811,116.007,2.125,251,1.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,54,visible,284.802,116.699,2.125,251,0.98,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,55,visible,282.793,117.391,2.125,251,1.0,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,56,visible,280.784,118.083,2.125,251,0.99,0.02,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,57,visible,278.775,118.775,2.125,251,1.0,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,58,visible,276.76599999999996,119.46700000000001,2.125,251,1.0,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,59,visible,274.757,120.15899999999999,2.125,251,1.0,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,60,visible,272.748,120.851,2.125,251,0.95,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,61,visible,270.73900000000003,121.54299999999999,2.125,251,0.85,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,62,visible,268.73,122.235,2.125,251,0.83,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,63,visible,266.721,122.927,2.125,251,0.8200000000000001,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,64,visible,264.712,123.619,2.125,251,0.84,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,65,visible,262.703,124.311,2.125,251,0.81,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,66,visible,260.694,125.00299999999999,2.125,251,0.77,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,67,visible,258.685,125.695,2.125,251,0.74,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,68,visible,256.676,126.387,2.125,251,0.6799999999999999,0.03,False,False,False,False,False,True,False,False,False,,False,False,False,exploring,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,69,visible,254.667,127.079,2.125,251,0.61,0.03,False,False,False,True,False,True,False,False,False,,False,True,False,exploiting,False,False,
0403-e555ae3d-f797-4798-9be7-b3e115a6f2e2,70,visible,252.808,128.109,2.125,241,0.5,0.03,False,False,False,True,False,False,False,False,False,,False,True,False,exploiting,False,False,
