pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,nearby-9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,facing-9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,copying-9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,spinning,staying,going_straight,moving,nearby,have_been_nearby,since_nearby,copying,exploiting,exploring,state,other_exploiting,copying_exploiting,copying_reward
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,56,visible,295.757,76.35600000000001,2.125,242,0.88,0.6,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,57,visible,293.64799999999997,76.097,2.125,277,0.89,0.6,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,58,visible,292.199,74.543,2.125,317,0.89,0.61,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,59,visible,291.903,72.439,2.125,352,0.91,0.61,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,60,visible,293.029,70.637,2.125,32,0.93,0.61,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,61,visible,295.05,69.98,2.125,72,0.92,0.61,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,62,visible,297.07099999999997,69.32300000000001,2.125,72,0.91,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,63,visible,299.092,68.666,2.125,72,0.88,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,64,visible,301.113,68.009,2.125,72,0.86,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,65,visible,303.134,67.352,2.125,72,0.84,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,66,visible,305.155,66.695,2.125,72,0.83,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,67,visible,307.176,66.038,2.125,72,0.81,0.61,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,68,visible,308.302,64.236,2.125,32,0.8,0.61,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,69,visible,308.191,62.114,2.125,357,0.78,0.61,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,70,visible,306.742,60.56,2.125,317,0.78,0.61,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,71,visible,304.633,60.301,2.125,277,0.79,0.61,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,72,visible,302.757,61.299,2.125,242,0.81,0.61,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,73,visible,301.961,63.269,2.125,202,0.8200000000000001,0.61,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,74,visible,302.959,65.145,2.125,152,0.81,0.61,False,False,False,True,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,75,visible,303.957,67.021,2.125,152,0.79,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,76,visible,304.955,68.89699999999999,2.125,152,0.76,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,77,visible,305.953,70.773,2.125,152,0.73,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,78,visible,306.95099999999996,72.649,2.125,152,0.71,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,79,visible,307.949,74.525,2.125,152,0.7,0.61,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,80,visible,308.245,76.62899999999999,2.125,172,0.6699999999999999,0.61,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,81,visible,308.541,78.733,2.125,172,0.6599999999999999,0.61,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,82,visible,308.837,80.837,2.125,172,0.64,0.61,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,83,visible,309.494,82.85799999999999,2.125,162,0.61,0.61,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,84,visible,311.296,83.984,2.125,122,0.6,0.61,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,85,visible,313.4,83.68799999999999,2.125,82,0.5800000000000001,0.61,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,86,visible,314.954,82.23899999999999,2.125,47,0.56,0.61,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,87,visible,315.21299999999997,80.13,2.125,7,0.55,0.61,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,88,visible,311.868,73.839,7.125,332,0.56,0.62,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,89,visible,305.262,71.17,7.125,292,0.6,0.62,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,90,visible,298.32,72.773,7.125,257,0.65,0.62,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,91,visible,295.651,79.37899999999999,7.125,202,0.6699999999999999,0.62,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,92,visible,292.982,85.985,7.125,202,0.65,0.62,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,93,visible,290.313,92.59100000000001,7.125,202,0.64,0.62,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,94,visible,287.644,99.197,7.125,202,0.62,0.62,False,False,False,False,False,True,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,95,visible,282.876,104.492,7.125,222,0.5900000000000001,0.62,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,96,visible,275.82,105.484,7.125,262,0.5900000000000001,0.62,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,97,visible,269.778,101.708,7.125,302,0.61,0.62,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,98,visible,263.736,97.932,7.125,302,0.65,0.62,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,99,visible,257.694,94.156,7.125,302,0.7,0.62,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,100,visible,253.813,88.18,7.125,327,0.75,0.62,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,101,visible,252.821,81.124,7.125,352,0.8,0.62,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,102,visible,251.829,74.068,7.125,352,0.85,0.62,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,103,visible,247.442,68.453,7.125,322,0.89,0.62,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,104,visible,240.628,66.37,7.125,287,0.95,0.62,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,105,visible,233.81400000000002,64.28699999999999,7.125,287,1.0,0.62,False,False,False,False,False,False,True,False,False,,False,False,True,exploring,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,106,visible,231.782,63.666000000000004,2.125,287,1.0,0.62,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,107,visible,229.761,64.32300000000001,2.125,252,1.0,0.62,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,108,visible,228.482,66.02,2.125,217,1.0,0.62,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,109,visible,228.593,68.142,2.125,177,1.0,0.62,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,110,visible,228.519,70.266,2.125,182,1.0,0.62,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,111,visible,227.24,71.96300000000001,2.125,217,1.0,0.62,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,112,visible,225.169,72.441,2.125,257,1.0,0.62,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,113,visible,223.27599999999998,71.476,2.125,297,1.0,0.62,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,114,visible,222.278,69.6,2.125,332,1.0,0.62,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,115,visible,222.72,67.521,2.125,12,1.0,0.62,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,116,visible,224.395,66.21300000000001,2.125,52,1.0,0.63,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,117,visible,226.517,66.102,2.125,87,1.0,0.63,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,118,visible,228.21400000000003,67.381,2.125,127,1.0,0.63,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,119,visible,228.87099999999998,69.402,2.125,162,1.0,0.63,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,120,visible,228.075,71.372,2.125,202,0.99,0.63,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,121,visible,226.293,72.529,2.125,237,0.96,0.63,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,122,visible,224.18400000000003,72.27,2.125,277,0.95,0.63,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,123,visible,222.735,70.71600000000001,2.125,317,0.98,0.63,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,124,visible,222.43900000000002,68.612,2.125,352,0.99,0.63,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,125,visible,223.565,66.81,2.125,32,1.0,0.63,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,126,visible,225.521,65.98,2.125,67,1.0,0.63,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,127,visible,227.553,66.601,2.125,107,0.97,0.63,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,128,visible,228.861,68.27600000000001,2.125,142,0.94,0.63,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,129,visible,228.787,70.4,2.125,182,0.92,0.63,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,130,visible,227.365,71.979,2.125,222,0.89,0.63,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,131,visible,225.294,72.457,2.125,257,0.89,0.63,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,132,visible,223.40099999999998,71.492,2.125,297,0.9,0.63,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,133,visible,222.403,69.616,2.125,332,0.92,0.63,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,134,visible,222.845,67.53699999999999,2.125,12,0.93,0.63,False,False,False,True,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,135,visible,222.919,65.413,2.125,2,0.91,0.63,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,136,visible,222.44099999999997,63.342,2.125,347,0.92,0.63,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,137,visible,221.963,61.271,2.125,347,0.93,0.63,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,138,visible,221.485,59.2,2.125,347,0.93,0.63,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,139,visible,221.007,57.129,2.125,347,0.93,0.63,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,140,visible,220.52900000000002,55.058,2.125,347,0.93,0.64,False,False,False,False,True,True,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,141,visible,218.832,53.778999999999996,2.125,307,0.93,0.64,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
9496-c6ecc653-769a-44e2-9dc7-46b64a826d9b,142,visible,217.135,52.5,2.125,307,0.94,0.64,False,False,False,False,True,False,False,False,False,,False,True,False,exploiting,False,False,
