pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,obs_bg_val,goal_x,goal_y,on_wall,in_close,in_far,round,round_type,bg_cond,close_cond,sim_num
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,82,visible,303.269,70.503,2.125,181,0,0.01,0,301,207,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,83,visible,303.232,72.628,2.125,181,0,0.01,0,301,207,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,84,visible,303.195,74.753,2.125,181,0,0.02,0,301,207,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,85,visible,303.158,76.878,2.125,181,0,0.02,0,301,207,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,86,visible,301.299,77.908,2.125,241,0,0.02,0,65,210,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,87,visible,299.44,78.938,2.125,241,0,0.02,0,65,210,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,88,visible,297.581,79.968,2.125,241,0,0.02,0,65,210,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,89,visible,295.722,80.998,2.125,241,0,0.02,0,65,210,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,90,visible,293.863,82.028,2.125,241,0,0.02,0,65,210,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,91,visible,292.004,83.058,2.125,241,0,0.02,0,65,210,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,92,visible,290.145,84.088,2.125,241,0,0.02,0,65,210,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,93,visible,288.286,85.118,2.125,241,0,0.02,0,65,210,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,94,visible,286.427,86.148,2.125,241,0,0.02,0,65,210,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,95,visible,284.686,87.367,2.125,235,0,0.02,0,46,257,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,96,visible,282.945,88.586,2.125,235,0,0.02,0,46,257,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,97,visible,281.204,89.805,2.125,235,0,0.02,0,46,257,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,98,visible,279.463,91.024,2.125,235,0,0.02,0,46,257,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,99,visible,277.722,92.243,2.125,235,0,0.02,0,46,257,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,100,visible,275.981,93.462,2.125,235,0,0.02,0,46,257,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,101,visible,274.24,94.681,2.125,235,0,0.02,0,46,257,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,102,visible,272.499,95.9,2.125,235,0,0.02,0,46,257,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,103,visible,271.162,97.551,2.125,219,0,0.02,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,104,visible,269.825,99.202,2.125,219,0,0.02,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,105,visible,268.488,100.853,2.125,219,0,0.02,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,106,visible,267.151,102.504,2.125,219,0,0.02,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,107,visible,265.814,104.155,2.125,219,0,0.02,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,108,visible,264.477,105.806,2.125,219,0,0.02,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,109,visible,263.14,107.457,2.125,219,0,0.02,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,110,visible,261.803,109.108,2.125,219,0,0.02,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,111,visible,260.466,110.759,2.125,219,0,0.02,0,144,255,0,0,0,0,initialVisible1,wall,second,86
1978-7a45dc00-f51a-4719-bdd5-f32aa89dd692,112,visible,259.129,112.41,2.125,219,0,0.02,0,144,255,0,0,0,0,initialVisible1,wall,second,86
