,assigned_n_players,bn_players,difficulty,first_half_score,fn_players,game,hn_players,max_lat,mean_lat,noise,pid,score,second_half_score,wait
80,3,1,,0.17,1,2016-11-2-14-25-35-774_3_3_6764-c7f5ed36-b2e1-4759-8e7c-fd7841586643,1,1640.5,59.854791666666664,3,8087-cce27356-36a6-4ef0-8f5c-7d016e80c8b4,0.1375,0.105,1456
81,6,3,,0.14,3,2016-11-2-13-43-12-472_6_2_7816-5a567658-65ba-4c0b-8c5e-75f0d065163d,3,567.0,51.62526052521884,2,1413-758f1324-6637-48ee-9850-7c3c1fccffe8,0.15708333333333332,0.17416666666666666,1447
82,6,3,,0.13333333333333333,3,2016-11-2-13-43-12-472_6_2_7816-5a567658-65ba-4c0b-8c5e-75f0d065163d,3,155.0,47.35125,2,3991-2a10c899-ae5b-48fd-92c5-64073eeaeb8c,0.14,0.14666666666666667,1206
83,6,3,,0.22833333333333333,3,2016-11-2-13-43-12-472_6_2_7816-5a567658-65ba-4c0b-8c5e-75f0d065163d,3,261.0,39.42086630570596,2,7070-5a5a8255-9f12-4253-b0db-ccc1e01702cf,0.16083333333333333,0.09333333333333334,311
84,6,5,,0.17083333333333334,5,2016-11-2-14-43-33-43_6_0_2419-ca73e001-41f5-4b1e-8d70-df768da04969,5,256.0,61.18208333333333,0,1717-2e491404-2766-4396-8cc0-637f87fa303a,0.14125,0.11166666666666666,317
85,6,5,,0.17166666666666666,5,2016-11-2-14-43-33-43_6_0_2419-ca73e001-41f5-4b1e-8d70-df768da04969,5,2070.0,64.65235514797833,0,7122-dbf7b0bd-4fbe-4209-87c1-b17d52e100a1,0.15166666666666667,0.13166666666666665,910
86,6,5,,0.26,5,2016-11-2-14-43-33-43_6_0_2419-ca73e001-41f5-4b1e-8d70-df768da04969,5,591.5,79.82138390996248,0,1652-d1662073-d42f-48a7-bc5e-d62a7a4bebe3,0.23208333333333334,0.20416666666666666,705
87,6,5,,0.12666666666666668,5,2016-11-2-14-43-33-43_6_0_2419-ca73e001-41f5-4b1e-8d70-df768da04969,5,336.5,68.49812421842434,0,1927-3def24bb-fb3e-429b-baad-f5f5a789c9c7,0.10166666666666667,0.07666666666666666,267
88,6,5,,0.15416666666666667,5,2016-11-2-14-43-33-43_6_0_2419-ca73e001-41f5-4b1e-8d70-df768da04969,5,259.5,43.7303042934556,0,1787-93d21af9-ec82-4600-b88f-92e434901384,0.1075,0.060833333333333336,260
89,1,1,,0.18916666666666668,1,2016-11-2-14-45-26-379_1_0_3163-5fcc8d64-2e8d-4c94-a0e6-9890d7b99cd0,1,57.5,17.652355147978323,0,4432-cd2d2f57-498d-4164-aeba-2757c9e4770d,0.16416666666666666,0.13916666666666666,261
90,1,1,,0.0875,1,2016-11-2-15-54-34-173_1_0_6998-12284e6d-9d7d-4ffa-9ee5-d96477f9119c,1,812.5,55.85639849937474,0,6878-e2d74cf5-a556-441d-9358-d4b11a51b331,0.23833333333333334,0.38916666666666666,262
91,2,2,,0.1025,2,2016-11-2-15-1-11-342_2_0_3375-13347d72-2fad-4f39-a7b1-5b312caacd6c,2,653.5,55.505,0,5742-51432f4c-7ffc-44f3-b7c4-73c1e767c823,0.1,0.0975,263
92,2,2,,0.11583333333333333,2,2016-11-2-15-1-11-342_2_0_3375-13347d72-2fad-4f39-a7b1-5b312caacd6c,2,259.0,61.31979166666667,0,9943-6119f69a-769f-42eb-a832-0e28c4df7b1e,0.16666666666666666,0.2175,310
93,6,1,,0.05,1,2016-11-2-17-11-53-248_6_2_8750-20219aff-5740-4520-9302-da2df97d75eb,1,65.5,33.196041666666666,2,0012-c66ab46a-f36a-42f1-bb4a-02567d5c6872,0.10208333333333333,0.15416666666666667,1457
94,1,1,,0.15833333333333333,1,2016-11-2-16-17-54-771_1_0_3179-0285090c-917c-4339-9b11-a219c6af58f1,1,800.0,48.73051271363068,0,4290-3506d628-6c74-4fc6-a0ea-c8a2f69a19d5,0.15291666666666667,0.1475,262
95,1,1,,0.17083333333333334,1,2016-11-2-15-29-52-823_1_1_0281-f27b1713-84db-4ae5-8d0f-e95518b45d81,1,158.0,35.22363484785327,1,0762-535a39be-add2-4ed2-a14f-c4df2b88f3de,0.21833333333333332,0.2658333333333333,261
96,2,1,,0.1725,1,2016-11-2-13-51-21-745_2_2_0136-c36c4d6b-1e5a-46a7-9b92-5afd7799102e,1,81.5,35.497083333333336,2,4709-46dd54cb-b363-4ece-b544-4f1694e3f310,0.175,0.1775,1454
97,4,2,,0.0775,2,2016-11-2-16-6-36-755_4_3_3345-689e6819-ff94-4562-b58e-0f7046110c21,2,240.0,24.95352230095873,3,3517-723a191c-94f5-49e8-adba-4f814287aa00,0.06166666666666667,0.04583333333333333,1456
98,4,2,,0.15333333333333332,2,2016-11-2-16-6-36-755_4_3_3345-689e6819-ff94-4562-b58e-0f7046110c21,2,64.0,27.010833333333334,3,7492-b636adea-c783-4765-b63e-e3537bf3ff72,0.17208333333333334,0.19083333333333333,1069
99,2,1,,0.04416666666666667,1,2016-10-24-22-7-51-532_2_3_7731-36b48525-c08e-4526-9a1a-b84d7d54d083,1,190.5,39.79345560650271,3,6856-f4cadb67-8048-44d6-ac18-2f3d6b62b8c9,0.04125,0.03833333333333333,415
