pid,tick,latency
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,182,3142.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,183,3080
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,184,3017.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,185,2953.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,186,2891
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,187,2827.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,188,2764.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,189,2694.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,190,2632
4224-adf901a6-65c5-44e1-822f-353db67d5421,232,12.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,233,18
4224-adf901a6-65c5-44e1-822f-353db67d5421,234,12.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,235,185.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,236,123
4224-adf901a6-65c5-44e1-822f-353db67d5421,237,61
4224-adf901a6-65c5-44e1-822f-353db67d5421,238,17.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,239,18
4224-adf901a6-65c5-44e1-822f-353db67d5421,240,14
4224-adf901a6-65c5-44e1-822f-353db67d5421,241,15
4224-adf901a6-65c5-44e1-822f-353db67d5421,242,17.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,243,22.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,244,13
4224-adf901a6-65c5-44e1-822f-353db67d5421,245,15.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,246,27
4224-adf901a6-65c5-44e1-822f-353db67d5421,247,16
4224-adf901a6-65c5-44e1-822f-353db67d5421,248,19
4224-adf901a6-65c5-44e1-822f-353db67d5421,249,56.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,250,17
4224-adf901a6-65c5-44e1-822f-353db67d5421,251,22.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,252,18.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,253,14.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,254,39
4224-adf901a6-65c5-44e1-822f-353db67d5421,255,45
4224-adf901a6-65c5-44e1-822f-353db67d5421,256,22
4224-adf901a6-65c5-44e1-822f-353db67d5421,257,30
4224-adf901a6-65c5-44e1-822f-353db67d5421,258,16.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,259,44
4224-adf901a6-65c5-44e1-822f-353db67d5421,260,17
4224-adf901a6-65c5-44e1-822f-353db67d5421,261,20
4224-adf901a6-65c5-44e1-822f-353db67d5421,262,39.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,263,21
4224-adf901a6-65c5-44e1-822f-353db67d5421,264,19.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,265,17
4224-adf901a6-65c5-44e1-822f-353db67d5421,266,14.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,267,14.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,268,21
4224-adf901a6-65c5-44e1-822f-353db67d5421,269,30.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,270,42
4224-adf901a6-65c5-44e1-822f-353db67d5421,271,19
4224-adf901a6-65c5-44e1-822f-353db67d5421,272,16
4224-adf901a6-65c5-44e1-822f-353db67d5421,273,16
4224-adf901a6-65c5-44e1-822f-353db67d5421,274,22.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,275,15.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,276,13.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,191,5496.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,192,5434
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,193,5371
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,194,5308
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,195,5245
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,196,5182
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,197,5119.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,198,5057
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,199,4993.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,200,4931
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,201,4868.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,202,4805.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,203,4742.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,204,4679
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,205,4616.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,206,4553.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,207,4491
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,208,4428.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,209,4366
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,210,4303.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,211,4241
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,212,4178
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,213,4114.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,214,4053
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,215,3990.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,216,3927.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,217,3865
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,218,3802
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,219,3738.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,220,3676
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,221,3612.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,222,3549.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,223,3487
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,224,3424
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,225,3361
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,226,3298
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,227,3235.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,228,3195
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,229,3132
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,230,3069.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,231,3007
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,232,2944
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,233,2881.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,234,2819
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,235,2756
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,236,2693
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,237,2630.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,238,2568
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,239,2505.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,240,2443
4224-adf901a6-65c5-44e1-822f-353db67d5421,277,142
4224-adf901a6-65c5-44e1-822f-353db67d5421,278,80
4224-adf901a6-65c5-44e1-822f-353db67d5421,279,17.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,280,15
4224-adf901a6-65c5-44e1-822f-353db67d5421,281,13
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,241,2583.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,282,18
4224-adf901a6-65c5-44e1-822f-353db67d5421,283,17
4224-adf901a6-65c5-44e1-822f-353db67d5421,284,17
4224-adf901a6-65c5-44e1-822f-353db67d5421,285,12
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,242,2736
4224-adf901a6-65c5-44e1-822f-353db67d5421,286,32
4224-adf901a6-65c5-44e1-822f-353db67d5421,287,25
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,243,2808.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,288,27.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,289,12.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,290,26.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,291,11.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,292,17.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,293,11
4224-adf901a6-65c5-44e1-822f-353db67d5421,294,15
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,244,3211
4224-adf901a6-65c5-44e1-822f-353db67d5421,295,32.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,296,19.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,297,15.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,298,15
4224-adf901a6-65c5-44e1-822f-353db67d5421,299,16.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,245,3467.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,300,27
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,246,3420
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,247,3367.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,248,3305
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,249,3242
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,250,3201
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,251,3138.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,252,3099
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,253,3036
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,254,3023.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,301,167.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,302,104.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,303,41.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,255,3087.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,256,3025
4224-adf901a6-65c5-44e1-822f-353db67d5421,304,16.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,305,16
4224-adf901a6-65c5-44e1-822f-353db67d5421,306,23
4224-adf901a6-65c5-44e1-822f-353db67d5421,307,27.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,308,16
4224-adf901a6-65c5-44e1-822f-353db67d5421,309,18
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,257,3345
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,258,3282
4224-adf901a6-65c5-44e1-822f-353db67d5421,310,14
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,259,3280
4224-adf901a6-65c5-44e1-822f-353db67d5421,311,133
4224-adf901a6-65c5-44e1-822f-353db67d5421,312,70
4224-adf901a6-65c5-44e1-822f-353db67d5421,313,18
4224-adf901a6-65c5-44e1-822f-353db67d5421,314,16
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,260,3421.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,261,3359
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,262,3296.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,263,3234
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,264,3172
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,265,3109.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,266,3046
4224-adf901a6-65c5-44e1-822f-353db67d5421,315,16
4224-adf901a6-65c5-44e1-822f-353db67d5421,316,13
4224-adf901a6-65c5-44e1-822f-353db67d5421,317,17.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,267,3172
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,268,3110
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,269,3046.5
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,270,2984
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,271,2921
4224-adf901a6-65c5-44e1-822f-353db67d5421,318,22
4224-adf901a6-65c5-44e1-822f-353db67d5421,319,17.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,320,19
4224-adf901a6-65c5-44e1-822f-353db67d5421,321,22.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,322,19
4224-adf901a6-65c5-44e1-822f-353db67d5421,323,13.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,324,18
6645-92b88c20-8a33-4a37-b5b5-f64f243b217e,272,3318.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,325,36
4224-adf901a6-65c5-44e1-822f-353db67d5421,326,27.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,327,18.5
4224-adf901a6-65c5-44e1-822f-353db67d5421,328,14
4224-adf901a6-65c5-44e1-822f-353db67d5421,329,24
4224-adf901a6-65c5-44e1-822f-353db67d5421,330,14.5
