pid,tick,latency
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,42,23.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,42,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,42,46.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,43,25
6598-d0c90d01-a279-4cce-8851-10c07513efe2,43,27
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,43,66
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,44,23
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,44,46
6598-d0c90d01-a279-4cce-8851-10c07513efe2,44,59
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,45,23.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,45,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,45,46.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,46,25.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,46,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,46,46
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,47,24
6598-d0c90d01-a279-4cce-8851-10c07513efe2,47,28.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,47,49
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,48,23.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,48,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,48,48
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,49,24
6598-d0c90d01-a279-4cce-8851-10c07513efe2,49,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,49,45
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,50,23
6598-d0c90d01-a279-4cce-8851-10c07513efe2,50,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,50,47
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,51,24
6598-d0c90d01-a279-4cce-8851-10c07513efe2,51,26.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,51,63
6598-d0c90d01-a279-4cce-8851-10c07513efe2,52,26.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,52,28
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,52,49
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,53,23.5
6598-d0c90d01-a279-4cce-8851-10c07513efe2,53,27.5
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,53,45.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,54,23
6598-d0c90d01-a279-4cce-8851-10c07513efe2,54,26
7165-30c189e5-9bc6-4f06-bf20-6864ad9266d8,54,46.5
1752-8436ba65-06b8-43bd-bf0f-2e0deba6480c,55,25.5
