pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,57,visible,251.907,206.692,2.125,320,1,0.35
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,58,visible,317.296,78.512,7.125,130,0.4,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,58,visible,249.814,206.323,2.125,280,1,0.35
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,59,visible,322.754,83.092,7.125,130,0.47,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,59,visible,247.721,205.954,2.125,280,1,0.35
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,60,visible,328.212,87.672,7.125,130,0.6,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,60,visible,245.628,205.585,2.125,280,1,0.35
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,61,visible,330.056,94.554,7.125,165,0.6599999999999999,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,61,visible,243.535,205.216,2.125,280,1,0.35
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,62,visible,331.9,101.436,7.125,165,0.69,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,62,visible,241.442,204.847,2.125,280,1,0.35
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,63,visible,332.45,103.489,2.125,165,0.65,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,63,visible,243.07,206.213,2.125,130,1,0.35
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,64,visible,333,105.542,2.125,165,0.64,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,64,visible,245.195,206.213,2.125,90,1,0.35
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,65,visible,333.55,107.595,2.125,165,0.5700000000000001,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,65,visible,246.823,204.847,2.125,50,1,0.35
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,66,visible,334.1,109.648,2.125,165,0.53,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,66,visible,247.373,202.794,2.125,15,1,0.35
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,67,visible,334.65,111.701,2.125,165,0.51,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,67,visible,246.646,200.797,2.125,340,1,0.35
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,68,visible,335.2,113.754,2.125,165,0.49,0.45
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,68,visible,245.427,199.056,2.125,325,1,0.35
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,69,visible,335.75,115.807,2.125,165,0.5,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,69,visible,244.208,197.315,2.125,325,1,0.35
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,70,visible,335.2,117.86,2.125,195,0.51,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,70,visible,242.989,195.574,2.125,325,1,0.35
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,71,visible,334.65,119.913,2.125,195,0.49,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,71,visible,241.927,197.414,2.125,210,1,0.35
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,72,visible,333.022,121.279,2.125,230,0.48,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,72,visible,242.296,199.507,2.125,170,1,0.35
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,73,visible,331.394,122.645,2.125,230,0.5,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,73,visible,243.924,200.873,2.125,130,1,0.35
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,74,visible,329.766,124.011,2.125,230,0.47,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,74,visible,245.921,201.6,2.125,110,1,0.35
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,75,visible,328.138,125.377,2.125,230,0.51,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,75,visible,248.038,201.415,2.125,85,1,0.36
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,76,visible,327.588,127.43,2.125,195,0.53,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,76,visible,249.541,199.912,2.125,45,1,0.36
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,77,visible,328.315,129.427,2.125,160,0.5,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,77,visible,249.726,197.795,2.125,5,1,0.36
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,78,visible,330.056,130.646,2.125,125,0.48,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,78,visible,248.507,196.054,2.125,325,1,0.36
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,79,visible,332.181,130.646,2.125,90,0.47,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,79,visible,246.454,195.504,2.125,285,1,0.36
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,80,visible,334.178,129.919,2.125,70,0.43000000000000005,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,80,visible,244.457,196.231,2.125,250,1,0.36
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,81,visible,335.544,128.291,2.125,40,0.42000000000000004,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,81,visible,243.73,198.228,2.125,200,1,0.36
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,82,visible,336.91,126.663,2.125,40,0.43999999999999995,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,82,visible,244.457,200.225,2.125,160,1,0.36
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,83,visible,337.808,124.737,2.125,25,0.5,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,83,visible,246.297,201.287,2.125,120,1,0.36
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,84,visible,337.439,122.644,2.125,350,0.51,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,84,visible,248.414,201.102,2.125,85,1,0.36
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,85,visible,337.07,120.551,2.125,350,0.52,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,85,visible,250.531,200.917,2.125,85,1,0.36
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,86,visible,336.701,118.458,2.125,350,0.52,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,86,visible,251.594,199.077,2.125,30,1,0.36
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,87,visible,336.332,116.365,2.125,350,0.5,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,87,visible,251.225,196.984,2.125,350,1,0.36
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,88,visible,335.963,114.272,2.125,350,0.55,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,88,visible,249.722,195.481,2.125,315,1,0.36
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,89,visible,335.594,112.179,2.125,350,0.54,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,89,visible,248.219,193.978,2.125,315,1,0.36
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,90,visible,336.144,110.126,2.125,15,0.55,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,90,visible,246.716,192.475,2.125,315,1,0.36
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,91,visible,336.694,108.073,2.125,15,0.54,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,91,visible,245.213,190.972,2.125,315,0.98,0.36
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,92,visible,337.244,106.02,2.125,15,0.56,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,92,visible,243.71,189.469,2.125,315,1,0.36
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,93,visible,337.794,103.967,2.125,15,0.5900000000000001,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,93,visible,242.812,191.395,2.125,205,1,0.36
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,94,visible,339.16,102.339,2.125,40,0.5900000000000001,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,94,visible,241.914,193.321,2.125,205,1,0.36
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,95,visible,341,101.276,2.125,60,0.56,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,95,visible,241.016,195.247,2.125,205,1,0.36
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,96,visible,342.84,100.213,2.125,60,0.56,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,96,visible,242.644,193.881,2.125,50,1,0.36
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,97,visible,344.68,99.15,2.125,60,0.56,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,97,visible,244.272,192.515,2.125,50,1,0.36
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,98,visible,346.52,98.088,2.125,60,0.53,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,98,visible,244.457,190.398,2.125,5,1,0.37
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,99,visible,348.36,97.025,2.125,60,0.53,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,99,visible,243.238,188.657,2.125,325,1,0.37
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,100,visible,350.2,95.963,2.125,60,0.52,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,100,visible,242.019,186.916,2.125,325,1,0.37
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,101,visible,352.04,94.9,2.125,60,0.48,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,101,visible,239.902,187.101,2.125,265,1,0.37
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,102,visible,353.88,93.838,2.125,60,0.47,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,102,visible,238.399,188.604,2.125,225,1,0.37
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,103,visible,355.72,92.775,2.125,60,0.43000000000000005,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,103,visible,238.03,190.697,2.125,190,1,0.37
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,104,visible,357.56,91.713,2.125,60,0.35,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,104,visible,239.093,192.537,2.125,150,1,0.37
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,105,visible,359.557,90.986,2.125,70,0.32999999999999996,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,105,visible,241.09,193.264,2.125,110,1,0.37
6583-307cd4bb-5fe9-434c-8f42-68fea7914691,106,visible,361.554,91.713,2.125,110,0.30000000000000004,0.46
3207-b7a83cf0-9156-4986-ab40-315128fbfa4e,106,visible,243.087,192.537,2.125,70,1,0.37
