pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points,goal_x,goal_y,in_close,in_far
1,27,true,419.925217227,80.5426504958,7.125,24.7163479312,0.2,,428,63,False,False
2,27,true,277.709771965,99.3002610671,7.125,248.071353365,0.2,,194,133,False,False
3,27,true,169.021780409,12.354577821,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,27,true,274.480394529,274.238014324,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,28,true,186.328767141,58.441217165,7.125,18.0125914488,0.2,,192,41,False,False
1,28,true,422.904366951,74.070379494,7.125,24.7163479312,0.2,,428,63,False,False
2,28,true,271.100268193,101.961103958,7.125,248.071353365,0.2,,194,133,False,False
3,28,true,161.910376202,11.9146287319,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,28,true,267.355983202,274.329601677,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,29,true,188.532002343,51.6654235107,7.125,18.0125914488,0.2,,192,41,False,False
1,29,true,425.883516676,67.5981084923,7.125,24.7163479312,0.2,,428,63,False,False
2,29,true,264.490764421,104.621946848,7.125,248.071353365,0.2,,194,133,False,False
3,29,true,154.798971995,11.4746796428,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,29,true,260.231571875,274.42118903,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,30,true,190.735237544,44.8896298564,7.125,18.0125914488,0.2,,192,41,False,False
1,30,true,426.772035014,65.6677820531,2.125,24.7163479312,0.2,,428,63,False,False
2,30,true,257.881260649,107.282789738,7.125,248.071353365,0.2,,194,133,False,False
3,30,true,147.687567787,11.0347305537,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,30,true,253.107160548,274.512776384,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,31,true,191.39234278,42.8687791174,2.125,18.0125914488,0.2,,192,41,False,False
1,31,true,427.660553353,63.737455614,2.125,24.7163479312,0.2,,428,63,False,False
2,31,true,251.271756877,109.943632629,7.125,248.071353365,0.2,,194,133,False,False
3,31,true,140.57616358,10.5947814646,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,31,true,245.982749221,274.604363737,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,32,true,194.297564728,49.3745696483,7.125,155.936400362,0.2,,237,145,False,False
1,32,true,421.205370168,66.7534521412,7.125,244.957035466,0.2,,29,250,False,False
2,32,true,244.662253105,112.604475519,7.125,248.071353365,0.2,,194,133,False,False
3,32,true,133.464759373,10.1548323755,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,32,true,238.858337894,274.695951091,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,33,true,197.202786676,55.8803601793,7.125,155.936400362,0.2,,237,145,False,False
1,33,true,414.750186984,69.7694486685,7.125,244.957035466,0.2,,29,250,False,False
2,33,true,238.052749333,115.26531841,7.125,248.071353365,0.2,,194,133,False,False
3,33,true,126.353355166,9.71488328639,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,33,true,231.733926567,274.787538444,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,34,true,200.108008624,62.3861507103,7.125,155.936400362,0.2,,237,145,False,False
1,34,true,408.295003799,72.7854451957,7.125,244.957035466,0.2,,29,250,False,False
2,34,true,231.443245561,117.9261613,7.125,248.071353365,0.2,,194,133,False,False
3,34,true,119.241950958,9.27493419729,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,34,true,224.60951524,274.879125797,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,35,true,203.013230572,68.8919412413,7.125,155.936400362,0.2,,237,145,False,False
1,35,true,401.839820614,75.8014417229,7.125,244.957035466,0.2,,29,250,False,False
2,35,true,224.833741789,120.587004191,7.125,248.071353365,0.2,,194,133,False,False
3,35,true,112.130546751,8.83498510818,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,35,true,217.485103912,274.970713151,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,36,true,205.91845252,75.3977317723,7.125,155.936400362,0.2,,237,145,False,False
1,36,true,395.38463743,78.8174382501,7.125,244.957035466,0.2,,29,250,False,False
2,36,true,218.224238017,123.247847081,7.125,248.071353365,0.2,,194,133,False,False
3,36,true,105.019142544,8.39503601908,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,36,true,210.360692585,275.062300504,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,37,true,208.823674468,81.9035223032,7.125,155.936400362,0.2,,237,145,False,False
1,37,true,388.929454245,81.8334347774,7.125,244.957035466,0.2,,29,250,False,False
2,37,true,211.614734245,125.908689971,7.125,248.071353365,0.2,,194,133,False,False
3,37,true,97.9077383365,7.95508692997,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,37,true,203.236281258,275.153887857,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,38,true,211.728896416,88.4093128342,7.125,155.936400362,0.2,,237,145,False,False
1,38,true,382.47427106,84.8494313046,7.125,244.957035466,0.2,,29,250,False,False
2,38,true,205.005230473,128.569532862,7.125,248.071353365,0.2,,194,133,False,False
3,38,true,90.7963341292,7.51513784086,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,38,true,196.111869931,275.245475211,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,39,true,214.634118364,94.9151033652,7.125,155.936400362,0.2,,237,145,False,False
1,39,true,376.019087876,87.8654278318,7.125,244.957035466,0.2,,29,250,False,False
2,39,true,198.395726701,131.230375752,7.125,248.071353365,0.2,,194,133,False,False
3,39,true,83.684929922,7.07518875176,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,39,true,188.987458604,275.337062564,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,40,true,217.539340312,101.420893896,7.125,155.936400362,0.2,,237,145,False,False
1,40,true,369.563904691,90.8814243591,7.125,244.957035466,0.2,,29,250,False,False
2,40,true,196.42447119,132.023960474,2.125,248.071353365,0.2,,194,133,False,False
3,40,true,76.5735257147,6.63523966265,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,40,true,181.863047277,275.428649917,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,41,true,220.44456226,107.926684427,7.125,155.936400362,0.2,,237,145,False,False
1,41,true,363.108721506,93.8974208863,7.125,244.957035466,0.2,,29,250,False,False
2,41,true,194.453215679,132.817545196,2.125,248.071353365,0.2,,194,133,False,False
3,41,true,69.4621215074,6.19529057355,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,41,true,174.73863595,275.520237271,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,42,true,223.349784208,114.432474958,7.125,155.936400362,0.2,,237,145,False,False
1,42,true,356.653538322,96.9134174135,7.125,244.957035466,0.2,,29,250,False,False
2,42,true,196.900762101,139.508968177,7.125,159.908810295,0.2,,230,230,False,False
3,42,true,62.3507173002,5.75534148444,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,42,true,167.614224623,275.611824624,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,43,true,226.255006156,120.938265489,7.125,155.936400362,0.2,,237,145,False,False
1,43,true,350.198355137,99.9294139407,7.125,244.957035466,0.2,,29,250,False,False
2,43,true,199.348308523,146.200391158,7.125,159.908810295,0.2,,230,230,False,False
3,43,true,55.2393130929,5.31539239533,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,43,true,160.489813296,275.703411977,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,44,true,229.160228104,127.44405602,7.125,155.936400362,0.2,,237,145,False,False
1,44,true,343.743171952,102.945410468,7.125,244.957035466,0.2,,29,250,False,False
2,44,true,201.795854944,152.891814139,7.125,159.908810295,0.2,,230,230,False,False
3,44,true,48.1279088857,4.87544330623,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,44,true,153.365401969,275.794999331,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,45,true,232.065450052,133.949846551,7.125,155.936400362,0.2,,237,145,False,False
1,45,true,337.287988768,105.961406995,7.125,244.957035466,0.2,,29,250,False,False
2,45,true,204.243401366,159.58323712,7.125,159.908810295,0.2,,230,230,False,False
3,45,true,41.0165046784,4.43549421712,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,45,true,146.240990642,275.886586684,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,46,true,234.970672,140.455637082,7.125,155.936400362,0.2,,237,145,False,False
1,46,true,330.832805583,108.977403522,7.125,244.957035466,0.2,,29,250,False,False
2,46,true,206.690947788,166.274660102,7.125,159.908810295,0.2,,230,230,False,False
3,46,true,33.9051004712,3.99554512802,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,46,true,139.116579315,275.978174037,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,47,true,235.837141703,142.395960574,2.125,155.936400362,0.2,,237,145,False,False
1,47,true,324.377622398,111.99340005,7.125,244.957035466,0.2,,29,250,False,False
2,47,true,209.13849421,172.966083083,7.125,159.908810295,0.2,,230,230,False,False
3,47,true,26.7936962639,3.55559603891,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,47,true,131.992167988,276.069761391,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,48,true,236.703611407,144.336284065,2.125,155.936400362,0.2,,237,145,False,False
1,48,true,317.922439214,115.009396577,7.125,244.957035466,0.2,,29,250,False,False
2,48,true,211.586040631,179.657506064,7.125,159.908810295,0.2,,230,230,False,False
3,48,true,19.6822920566,3.1156469498,7.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,48,true,124.867756661,276.161348744,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,49,true,230.6516182,148.09647066,7.125,238.146747358,0.2,,94,233,False,False
1,49,true,311.467256029,118.025393104,7.125,244.957035466,0.2,,29,250,False,False
2,49,true,214.033587053,186.348929045,7.125,159.908810295,0.2,,230,230,False,False
3,49,true,17.5613469422,2.98443406358,2.125,273.540108291,0.2,,15.6229604718,2.86451522095,False,False
4,49,true,117.743345334,276.252936097,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,50,true,224.599624993,151.856657254,7.125,238.146747358,0.2,,94,233,False,False
1,50,true,305.012072844,121.041389631,7.125,244.957035466,0.2,,29,250,False,False
2,50,true,216.481133475,193.040352027,7.125,159.908810295,0.2,,230,230,False,False
3,50,true,17.5662088314,10.1094324048,7.125,179.960903052,0.2,,17.7466234055,274.503269825,False,False
4,50,true,110.618934007,276.344523451,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,51,true,218.547631786,155.616843848,7.125,238.146747358,0.2,,94,233,False,False
1,51,true,298.55688966,124.057386159,7.125,244.957035466,0.2,,29,250,False,False
2,51,true,218.928679897,199.731775008,7.125,159.908810295,0.2,,230,230,False,False
3,51,true,17.5710707206,17.234430746,7.125,179.960903052,0.2,,17.7466234055,274.503269825,False,False
4,51,true,103.49452268,276.436110804,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,52,true,212.495638579,159.377030442,7.125,238.146747358,0.2,,94,233,False,False
1,52,true,292.101706475,127.073382686,7.125,244.957035466,0.2,,29,250,False,False
2,52,true,221.376226318,206.423197989,7.125,159.908810295,0.2,,230,230,False,False
3,52,true,17.5759326098,24.3594290872,7.125,179.960903052,0.2,,17.7466234055,274.503269825,False,False
4,52,true,96.370111353,276.527698157,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,53,true,206.443645372,163.137217036,7.125,238.146747358,0.2,,94,233,False,False
1,53,true,285.64652329,130.089379213,7.125,244.957035466,0.2,,29,250,False,False
2,53,true,223.82377274,213.11462097,7.125,159.908810295,0.2,,230,230,False,False
3,53,true,17.580794499,31.4844274284,7.125,179.960903052,0.2,,17.7466234055,274.503269825,False,False
4,53,true,89.2457000259,276.619285511,7.125,269.263478831,0.2,,21.0986651391,277.495344778,False,False
0,54,true,200.391652165,166.89740363,7.125,238.146747358,0.2,,94,233,False,False
1,54,true,279.191340106,133.10537574,7.125,244.957035466,0.2,,29,250,False,False
