pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,22,visible,254.455,127.973,2.125,105,0.54,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,22,visible,397.989,108.481,2.125,347,0.10999999999999999,0.06
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,23,visible,231.593,84.615,2.125,339,0.25,0.6
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,23,visible,174.489,148.38,2.125,165,0.61,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,23,visible,256.508,128.523,2.125,105,0.54,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,23,visible,397.159,106.525,2.125,337,0.08999999999999997,0.06
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,24,visible,230.831,82.631,2.125,339,0.24,0.6
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,24,visible,175.039,150.433,2.125,165,0.61,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,24,visible,258.561,129.073,2.125,105,0.5,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,24,visible,395.851,104.85,2.125,322,0.06999999999999995,0.06
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,25,visible,228.972,81.601,2.125,299,0.26,0.61
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,25,visible,175.589,152.486,2.125,165,0.6,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,25,visible,260.614,129.623,2.125,105,0.47,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,25,visible,394.049,103.724,2.125,302,0.09999999999999998,0.06
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,26,visible,222.74,78.147,7.125,299,0.27,0.61
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,26,visible,175.22,154.579,2.125,190,0.63,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,26,visible,262.667,130.173,2.125,105,0.45999999999999996,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,26,visible,392.017,103.103,2.125,287,0.08999999999999997,0.06
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,27,visible,216.508,74.693,7.125,299,0.25,0.61
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,27,visible,173.854,156.207,2.125,220,0.5800000000000001,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,27,visible,264.72,130.723,2.125,105,0.45999999999999996,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,27,visible,389.893,103.029,2.125,272,0.13,0.06
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,28,visible,214.649,73.663,2.125,299,0.24,0.61
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,28,visible,172.488,157.835,2.125,220,0.54,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,28,visible,266.773,131.273,2.125,105,0.5,0.13
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,28,visible,387.789,103.325,2.125,262,0.09999999999999998,0.06
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,29,visible,212.79,72.633,2.125,299,0.26,0.61
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,29,visible,170.985,159.338,2.125,225,0.55,0.19
5035-0861f4fb-357e-471c-ac2d-7d53d4137fd0,29,visible,268.826,131.823,2.125,105,0.48,0.14
2508-51c6fd09-5fbe-4ec9-aa9e-57f212fc4ddf,29,visible,385.913,104.323,2.125,242,0.08999999999999997,0.06
5187-4dba1e65-23cd-442c-b541-0ee88de46a3f,30,visible,210.931,71.603,2.125,299,0.24,0.61
4348-73540604-b748-4fc6-8c78-06ddaaf8ada7,30,visible,168.932,158.788,2.125,285,0.55,0.19
