pid,tick,active,x_pos,y_pos,velocity,angle,bg_val,total_points
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,64,visible,260.445,212.598,2.125,210,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,65,visible,258.392,212.048,2.125,285,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,66,visible,256.339,211.498,2.125,285,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,67,visible,254.973,209.87,2.125,320,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,68,visible,255.342,207.777,2.125,10,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,69,visible,255.711,205.684,2.125,10,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,70,visible,256.08,203.591,2.125,10,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,71,visible,256.449,201.498,2.125,10,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,72,visible,256.818,199.405,2.125,10,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,73,visible,258.055,192.388,7.125,10,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,74,visible,259.292,185.371,7.125,10,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,75,visible,260.529,178.354,7.125,10,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,76,visible,261.766,171.337,7.125,10,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,77,visible,263.003,164.32,7.125,10,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,78,visible,264.24,157.303,7.125,10,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,79,visible,265.477,150.286,7.125,10,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,80,visible,266.714,143.269,7.125,10,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,81,visible,267.951,136.252,7.125,10,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,82,visible,269.188,129.235,7.125,10,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,83,visible,270.425,122.218,7.125,10,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,84,visible,271.662,115.201,7.125,10,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,85,visible,272.899,108.184,7.125,10,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,86,visible,274.136,101.167,7.125,10,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,87,visible,275.373,94.15,7.125,10,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,88,visible,276.61,87.133,7.125,10,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,89,visible,277.847,80.116,7.125,10,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,90,visible,280.284,73.421,7.125,20,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,91,visible,286.12,69.334,7.125,55,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,92,visible,293.218,69.955,7.125,95,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,93,visible,298.676,74.535,7.125,130,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,94,visible,299.913,81.552,7.125,170,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,95,visible,294.875,86.59,7.125,225,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,96,visible,289.837,91.628,7.125,225,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,97,visible,284.799,96.666,7.125,225,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,98,visible,279.761,101.704,7.125,225,0.58,0.02
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,99,visible,274.723,106.742,7.125,225,0.58,0.03
0690-8dc01781-1319-4d1a-891e-7c8d42a8eabe,100,visible,269.685,111.78,7.125,225,0.58,0.03
